Gene	Triplication-1.RNA.counts.txt	Triplication-2.RNA.counts.txt	Triplication-3.RNA.counts.txt	Isogenic-1.RNA.counts.txt	Isogenic-2.RNA.counts.txt	Isogenic-3.RNA.counts.txt
ACOT13	425.2720747	348.21441	419.9449947	360.2049147	363.8021006	335.9390781
ACOT2	409.9192922	283.5333619	332.2959247	527.8678631	526.7551248	443.6118595
ACOT4	1.535278248	1.772083512	2.88952978	5.408482203	0.947401304	0
ACOT6	0	1.772083512	0	0	1.894802607	0
ACOT7	1193.678838	1357.41597	1789.58211	654.4263466	687.8133464	615.8883098
ACOT8	336.9935754	310.1146145	353.4858097	282.322771	432.9623957	272.7710463
ACOT9	587.2439298	432.3883768	462.3247648	1129.291084	1241.095708	1214.548975
ACOX1	759.9627327	889.5859228	805.215632	606.8317032	664.1283138	654.6505111
ACOX2	175.7893594	155.0573073	108.838955	193.6236629	165.7952281	116.2866039
ACOX3	244.8768805	256.9521092	216.7147335	244.4633956	265.272365	251.23649
ACOXL	22.26153459	21.26500214	38.52706373	22.71562525	28.42203911	14.35637086
ACOXL-AS1	27.63500846	22.1510439	30.82165098	22.71562525	22.73763129	20.0989192
ACP1	1637.374251	1574.4962	1559.382904	1889.723682	1744.1658	1919.446784
ACP2	499.7330697	689.340486	681.929028	643.6093822	594.9680186	613.0170356
ACP3	8.444030363	7.974375802	4.815882966	9.735267966	10.42141434	4.306911257
ACP4	3.83819562	5.316250535	2.88952978	10.81696441	3.789605214	2.871274171
ACP5	32.2408432	24.80916916	36.60071054	48.67633983	33.15904563	27.27710463
ACP6	384.5872011	295.9379464	235.9782653	265.015628	264.3249637	246.9295787
ACP7	3.83819562	3.544167023	0.963176593	3.245089322	0	1.435637086
ACR	9.211669487	11.51854283	11.55811912	6.490178644	4.737006518	11.48509669
ACRBP	43.75543006	44.30208779	26.96894461	58.4116078	54.0018743	51.68293509
ACRP1	0	0	0	0	1.894802607	1.435637086
ACRV1	0.767639124	3.544167023	2.88952978	4.326785763	1.894802607	0
ACSBG1	63.71404729	25.69521092	53.93788922	21.63392881	20.84282868	14.35637086
ACSBG2	4.605834744	2.658125267	0	4.326785763	5.684407821	8.613822514
ACSF2	550.3972519	446.5650449	391.0496969	1216.908496	1355.731265	1177.22241
ACSF3	284.0264759	281.7612783	252.3522674	328.835718	324.0112458	325.8896185
ACSL1	1598.992295	1063.250107	1092.242257	1136.862959	1200.357452	1017.866694
ACSL3	2991.489666	2194.725429	2484.032434	2209.905828	2846.940917	2664.542431
ACSL3-AS1	0	0	0	0	0	0
ACSL3P1	1.535278248	1.772083512	0	0	0	0
ACSL4	4146.018908	3215.445532	3559.900689	1923.256272	2466.085593	1850.536203
ACSL5	7.676391239	11.51854283	15.41082549	7.571875085	13.26361825	12.92073377
ACSL6	336.2259363	337.581909	387.1969905	81.12723305	84.31871602	80.3956768
ACSL6-AS1	0.767639124	8.860417558	4.815882966	0	0	0
ACSM1	1.535278248	0.886041756	0.963176593	0	0	0
ACSM2A	0	0.886041756	0	0	0	0
ACSM2B	0	0	0	0	0	0
ACSM3	23.79681284	15.06270985	12.52129571	32.45089322	29.36944041	21.53455629
ACSM4	16.88806073	7.974375802	21.18988505	8.653571526	15.15842086	4.306911257
ACSM5	6.908752115	0	4.815882966	1.081696441	0.947401304	0
ACSM5P1	0	0	0	0	0.947401304	0
ACSM6	2.302917372	2.658125267	2.88952978	0	1.894802607	0
ACSS1	482.0773698	256.0660674	206.119791	479.1915232	413.0669684	368.958731
ACSS2	894.2995794	824.9048747	806.1788086	862.1120632	951.1909088	789.6003971
ACSS3	225.6859024	206.4477291	173.3717868	342.8977717	365.6969032	311.5332476
ACTA1	1686.503155	17.72083512	6.742236153	4813.549161	21554.32706	2108.950879
ACTA2	207.2625635	170.1200171	222.493793	262.8522351	301.2736145	265.5928609
ACTA2-AS1	0.767639124	0.886041756	1.926353187	0	0	0
ACTB	29726.05743	41707.75753	47015.53905	40623.10983	31488.77713	35422.90945
ACTBL2	0	0.886041756	0	0	0	0
ACTBP1	0	0	2.88952978	0	0	0
ACTBP11	2.302917372	4.430208779	6.742236153	7.571875085	8.526611732	5.742548343
ACTBP12	0	0	0.963176593	0	0	0
ACTBP14	0	0	0	0	0	2.871274171
ACTBP15	1.535278248	0.886041756	0	4.326785763	0	1.435637086
ACTBP16	0	0	0	0	0	0
ACTBP2	75.99627327	95.69250963	88.61224658	88.69910814	78.6343082	70.3462172
ACTBP4	0	3.544167023	0	0	0	0
ACTBP6	0	0	0	0	0	0
ACTBP7	6.141112991	2.658125267	11.55811912	11.89866085	5.684407821	5.742548343
ACTBP8	3.83819562	0.886041756	1.926353187	2.163392881	0	2.871274171
ACTBP9	7.676391239	19.49291863	13.48447231	18.38883949	5.684407821	14.35637086
ACTC1	19728.32548	92.1483426	15.41082549	16016.6792	45730.11352	9353.175613
ACTE1P	0.767639124	0	0	0	2.842203911	0
ACTG1	34359.52719	48437.24466	52656.86435	50450.32199	44458.70097	41909.11781
ACTG1P1	0	0	0	0	0	0
ACTG1P10	3.83819562	2.658125267	3.852706373	6.490178644	0.947401304	5.742548343
ACTG1P11	5.373473867	2.658125267	5.77905956	2.163392881	1.894802607	2.871274171
ACTG1P12	0.767639124	0.886041756	0	2.163392881	0.947401304	1.435637086
ACTG1P13	0	0	0	0	0	0
ACTG1P14	5.373473867	3.544167023	2.88952978	5.408482203	12.31621695	7.178185429
ACTG1P15	8.444030363	0.886041756	0	2.163392881	0	1.435637086
ACTG1P16	0	0.886041756	0	0	0	0
ACTG1P17	10.74694773	15.06270985	17.33717868	14.06205373	11.36881564	1.435637086
ACTG1P18	0	0	0	0	0	0
ACTG1P19	0	1.772083512	0.963176593	2.163392881	0	1.435637086
ACTG1P2	0.767639124	0	0	1.081696441	0.947401304	0
ACTG1P20	10.74694773	15.06270985	9.631765933	15.14375017	11.36881564	7.178185429
ACTG1P21	0	0	0	0	0.947401304	0
ACTG1P22	0	0	0	0	0	0
ACTG1P23	6.908752115	6.202292291	4.815882966	4.326785763	4.737006518	2.871274171
ACTG1P24	0	0	0.963176593	2.163392881	0	0
ACTG1P25	22.26153459	31.01146145	20.22670846	19.47053593	34.10644693	11.48509669
ACTG1P3	0.767639124	4.430208779	0	1.081696441	4.737006518	1.435637086
ACTG1P4	0	0	0	0	0	0
ACTG1P9	5.373473867	10.63250107	10.59494253	4.326785763	8.526611732	2.871274171
ACTG2	12.28222598	16.83479336	14.4476489	5.408482203	11.36881564	8.613822514
ACTL10	13.04986511	17.72083512	5.77905956	17.30714305	15.15842086	12.92073377
ACTL11P	0	0	0	0	0	0
ACTL6A	388.4253967	372.1375374	390.0865203	579.7892922	473.7006518	628.8090435
ACTL6B	254.8561891	574.1550578	607.7644303	127.64018	88.10832123	103.3658702
ACTL7A	0	0	0	0	0	1.435637086
ACTL7B	0	0	0	0	0.947401304	1.435637086
ACTL8	0	0	0	0	0.947401304	0
ACTL9	0	0	0	0	0	0
ACTMAP	307.8232887	238.3452323	266.7999163	297.4665212	351.4858836	228.2662966
ACTN1	1834.657506	1418.552851	1496.776426	2815.655835	3013.683547	3263.203096
ACTN1-DT	0.767639124	1.772083512	0	0	3.789605214	0
ACTN2	4151.392382	118.7295953	103.0598955	3020.096462	11871.88574	1665.339019
ACTN3	237.9681284	25.69521092	13.48447231	586.2794709	2093.756881	170.8408132
ACTN4	3861.992432	3509.611395	3319.10654	4953.088002	5208.812367	5492.74749
ACTN4P1	13.81750423	24.80916916	23.11623824	35.69598254	29.36944041	28.71274171
ACTN4P2	0	0	0	0	0	0
ACTP1	0	0	0	0	0	0
ACTR10	1582.871874	1389.313473	1498.702779	1521.946892	1496.89406	1437.072723
ACTR1A	2058.80813	2325.859609	2728.679289	1958.952254	2210.287241	1966.822807
ACTR1AP1	0	1.772083512	0.963176593	2.163392881	3.789605214	0
ACTR1B	1446.999749	1576.268284	1809.808819	1508.966535	1691.111327	1493.062569
ACTR2	7100.661896	6563.797327	6780.763217	6847.13847	7136.77402	7762.489722
ACTR2P1	14.58514335	15.9487516	21.18988505	21.63392881	11.36881564	12.92073377
ACTR2P2	34.54376058	33.66958672	40.45341692	36.77767898	34.10644693	35.89092714
ACTR3	1590.548265	1848.283103	1786.69258	1783.717431	1889.118199	1695.487398
ACTR3-AS1	19.1909781	30.1254197	25.04259142	12.98035729	14.21101955	27.27710463
ACTR3B	423.7367964	462.5137965	459.435235	366.6950934	419.6987775	387.6220131
ACTR3BP1	0	0	0	2.163392881	0	0
ACTR3BP2	0	0	0	0	0	0
ACTR3BP3	0	0	0	0	0	0
ACTR3BP4	0	0	0	0	0	0
ACTR3BP5	0	0	0	0	0	0
ACTR3BP6	0	0	0	0	0	0
ACTR3BP7	0	0	0	0	0	0
ACTR3C	7.676391239	5.316250535	5.77905956	5.408482203	7.579210429	4.306911257
